Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
SOON,SHA-256,PoW,12462620.0,21000000.0,-0.1484812033653907,-1.2494682232115457,0.19614598585928544,3,SoonCoin
1CR,Scrypt,PoW,88213.0,92000000000.0,0.4721098484917015,-1.0848325983239724,-0.02940186397531045,3,1Credit
ISL,X11,PoW/PoS,1513704.0,0.0,-0.3831740489459178,1.1025920222852688,-0.5026485938774895,0,IslaCoin
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.13208277444697356,2.2797041438487926,-0.5298123943207981,0,Nexus
MARS,X11,PoW,32221574.820996,33000000.0,-0.22005494152944716,-0.9637690211253245,0.103384295439921,3,MarsCoin 
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.15645284169745835,-2.1120641212828564,0.2759702103858843,3,Crypto
ACP,SHA-256,PoW,14747200.0002,53760000.0,-0.14822055619122398,-1.249491449175722,0.19614445588597285,3,Anarchists Prime
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.4199530124293006,1.8432771550641907,-0.7053929052907029,0,Droidz
BSC,X11,PoW,15863837.5,21000000.0,-0.2203404815152098,-0.9637601328748048,0.1033907130551697,3,BowsCoin
SQL,X11,PoS/PoW,329200.01639,0.0,-0.34242008813700525,0.7407036231427281,-0.1292215384157232,0,Squall Coin
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.17940933177707524,-1.01991386409409,-0.02754293212101725,3,Song Coin
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.17859977571380178,-1.0199430404473564,-0.027559988309788418,3,BitZeny
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.28926385507219066,0.7622390968945113,-0.26472213227403546,0,Diggits
EXP,Ethash,PoW,10495278.0,16906397.0,-0.156688473001298,-1.9884487847835908,0.4302492759146015,3,Expanse
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.2634889582154653,1.6346835815083005,-0.6619035647041558,0,Paycon
SC,Blake2b,PoW,33098296530.0,0.0,0.36647346948199905,-2.1730730191444594,0.297842149356305,3,Siacoin
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.3036620744079999,0.8161755665216314,-0.40993066861252053,0,Emercoin
EGC,X15,PoW/PoS,13530556.4180753,26298000.0,-0.23490953316907479,1.6943993866145024,-0.6746091812000037,0,EverGreenCoin
MND,X11,PoW,15867695.0,16000000.0,-0.220375945694133,-0.9637565966527815,0.10339081352736885,3,MindCoin
I0C,SHA-256,PoW,20997476.8650231,21000000.0,-0.14837668773402954,-1.2494684324856828,0.19614276502439715,3,I0coin
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.07009541437911217,0.8528643778731593,-0.5551705948647429,0,Decred
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.1772382172621339,-1.0199180450382241,-0.027609886508658393,3,Revolution VR
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.1589113879230501,-2.095796130066926,0.47658722480239457,3,HOdlcoin
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.31109046847451655,0.8168682358931326,-0.4098958667022139,0,EDRCoin
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.05996891812535773,1.08354458920078,-0.5073389867846715,0,Hitcoin
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.17984951553307288,-1.0198254930499424,-0.027554423683682997,3,Gamecredits
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.31115427425476555,0.8168763336388492,-0.4098961829785462,0,DubaiCoin
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.2710350302093666,-1.2652816024315106,0.18750614789254144,3,CarpeDiemCoin
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.2222993897810612,1.4436468760061887,-0.6308052949412295,0,PWR Coin
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.3434015013272118,1.0465426545035874,-0.6335757594398086,0,BillaryCoin
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.2891330075974071,0.7621549403069569,-0.2647021375732419,0,GPU Coin
ADZ,X11,PoW,45110324.0,84000000.0,-0.21953489281626837,-0.9638054075860302,0.10337839189356195,3,Adzcoin
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.16280209150701494,-2.022276863610283,0.5372862326869464,3,SoilCoin
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.18009782941113867,-1.0198834548599593,-0.027530029075516934,3,YoCoin
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.14363396675383316,-2.0778298085066482,0.5559389174854407,3,SibCoin
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.38033786384362195,1.1023202151000373,-0.5026597781441586,0,EuropeCoin
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.8646675114285618,0.6913866740517801,-0.28065252020553777,0,ZeitCoin
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.31095396486323607,0.8168554878081888,-0.40989650059338256,0,SwingCoin
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.1886306949016641,0.34306115516172037,-0.20326459315165016,0,SafeExchangeCoin
NEBU,PoS,PoS,20000000.0,20000000.0,-0.3375983457265473,1.3328465268694842,0.038845100605617695,0,Nebuchadnezzar
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.1810787919399681,-1.0197786769364832,-0.027529244316426275,3,Francs
